Wiener,Randich
1212.0,10.859000000000002
1099.0,10.449000000000002
1099.0,10.449000000000002
1061.0,10.465
1740.0,12.071
1212.0,10.859000000000002
1562.0,11.77
1350.0,11.27
1099.0,10.449000000000002
2162.0,13.392000000000001
1631.0,12.181
2628.0,14.753
2322.0,13.731
1482.0,11.808
1482.0,11.808
1335.0,11.27
1335.0,11.27
2052.0,13.164000000000001
1482.0,11.808
3053.0,15.219000000000001
3028.0,15.219000000000001
2162.0,13.392000000000001
2004.0,12.954
1212.0,10.859000000000002
1219.0,10.842
1654.0,12.054
1654.0,12.054
1475.0,11.66
1654.0,12.054
1859.0,12.592
1859.0,12.592
2066.0,12.964
1859.0,12.592
2275.0,13.265
1654.0,12.054
1654.0,12.054
1475.0,11.66
1654.0,12.054
1635.0,12.054
1635.0,12.054
1635.0,12.054
1635.0,12.054
2199.0,13.265
1821.0,12.592
1821.0,12.592
2034.0,13.092
2009.0,12.964
1821.0,12.592
1635.0,12.054
2009.0,12.964
1635.0,12.054
1635.0,12.054
1635.0,12.054
1635.0,12.054
1616.0,12.071
1616.0,12.071
1616.0,12.071
1616.0,12.071
1616.0,12.071
2026.0,13.002
2026.0,13.002
2026.0,13.002
2237.0,13.375
2237.0,13.375
2026.0,13.002
1817.0,12.464
1817.0,12.464
1817.0,12.464
1817.0,12.464
2007.0,13.002
2199.0,13.375
2000.0,13.126
1817.0,12.464
1817.0,12.464
1799.0,12.448
1799.0,12.448
1990.0,12.985999999999999
1799.0,12.448
2026.0,13.002
2026.0,13.002
2026.0,13.002
2026.0,13.002
1817.0,12.464
2007.0,13.002
1817.0,12.464
1799.0,12.448
1799.0,12.448
1990.0,12.985999999999999
2197.0,13.413
2197.0,13.413
2197.0,13.413
2197.0,13.413
2181.0,13.413
2412.0,13.786
2197.0,13.413
1507.0,11.753
1362.0,11.38
1362.0,11.38
1362.0,11.38
1873.0,12.790999999999999
2044.0,13.415
2885.0,14.792
2885.0,14.792
1529.0,11.88
1362.0,11.38
1529.0,11.88
1529.0,11.88
1475.0,11.66
1616.0,12.071
1654.0,12.054
1635.0,12.054
1616.0,12.071
1859.0,12.592
1821.0,12.592
1635.0,12.054
1475.0,11.66
1616.0,12.071
1654.0,12.054
1635.0,12.054
1616.0,12.071
1635.0,12.054
1337.0,11.359000000000002
1201.0,10.987
1067.0,10.449000000000002
1201.0,10.987
1337.0,11.359000000000002
1635.0,12.054
1654.0,12.054
1635.0,12.054
1616.0,12.071
1635.0,12.054
1654.0,12.054
1635.0,12.054
1616.0,12.071
2213.0,13.626
2137.0,13.642999999999999
2213.0,13.626
2134.0,13.554
2000.0,13.126
1943.0,13.142999999999999
1318.0,11.16
1318.0,11.16
1318.0,11.16
1474.0,11.554
1455.0,11.571
1474.0,11.554
1474.0,11.554
1474.0,11.554
1474.0,11.554
1474.0,11.554
1474.0,11.554
1099.0,10.449000000000002
1265.0,10.987
1099.0,10.449000000000002
1099.0,10.449000000000002
955.0,10.055
1603.0,11.66
1217.0,10.859000000000002
1265.0,10.987
1265.0,10.987
1454.0,11.487
1265.0,10.987
1217.0,10.859000000000002
1341.0,11.155999999999999
1341.0,11.155999999999999
2265.0,13.655999999999999
1637.0,12.277000000000001
1637.0,12.277000000000001
1231.0,10.859000000000002
1231.0,10.859000000000002
1231.0,10.859000000000002
1401.0,11.397
1401.0,11.397
1541.0,11.808
1379.0,11.520999999999999
1573.0,11.77
1747.0,12.071
1099.0,10.449000000000002
1231.0,10.859000000000002
1231.0,10.859000000000002
1367.0,11.27
1099.0,10.449000000000002
1231.0,10.859000000000002
1265.0,10.987
1401.0,11.397
1401.0,11.397
1541.0,11.808
1379.0,11.520999999999999
1573.0,11.77
1603.0,11.66
1747.0,12.071
1220.0,10.949000000000002
1359.0,11.359000000000002
1220.0,10.949000000000002
1538.0,11.897
1220.0,10.949000000000002
1359.0,11.359000000000002
1220.0,10.949000000000002
1538.0,11.897
1538.0,11.897
1488.0,11.753
1642.0,12.164000000000001
1642.0,12.164000000000001
1840.0,12.702
1840.0,12.702
1840.0,12.702
2025.0,13.24
2017.0,13.325999999999999
1815.0,12.825999999999999
1488.0,11.753
1642.0,12.164000000000001
1642.0,12.164000000000001
1642.0,12.164000000000001
2040.0,13.074000000000002
1488.0,11.753
1642.0,12.164000000000001
1642.0,12.164000000000001
1840.0,12.702
1840.0,12.702
2002.0,13.112
1840.0,12.702
2025.0,13.24
2017.0,13.325999999999999
1815.0,12.825999999999999
1488.0,11.753
1642.0,12.164000000000001
1642.0,12.164000000000001
1642.0,12.164000000000001
2040.0,13.074000000000002
1488.0,11.753
1633.0,12.415
1488.0,11.753
1488.0,11.753
1488.0,11.753
1488.0,11.753
1475.0,11.66
1616.0,12.071
1635.0,12.054
1654.0,12.054
1616.0,12.071
1654.0,12.054
1616.0,12.071
1635.0,12.054
1654.0,12.054
1859.0,12.592
2275.0,13.265
2066.0,12.964
1783.0,12.609000000000002
1859.0,12.592
2091.0,13.092
1859.0,12.592
1654.0,12.054
1952.0,12.981
1859.0,12.592
2066.0,12.964
1859.0,12.592
2066.0,12.964
2026.0,13.002
2221.0,13.54
2221.0,13.54
2026.0,13.002
2237.0,13.375
2026.0,13.002
2197.0,13.413
1817.0,12.464
1799.0,12.464
1799.0,12.464
1507.0,11.753
1507.0,11.753
1702.0,12.290999999999999
1899.0,12.664000000000001
1702.0,12.290999999999999
1861.0,12.702
1861.0,12.702
2024.0,13.112
2024.0,13.112
1337.0,11.359000000000002
1677.0,12.290999999999999
1067.0,10.449000000000002
2519.0,14.347000000000001
2043.0,13.309000000000001
3039.0,15.203
1362.0,11.38
1362.0,11.38
2933.0,14.898
1201.0,10.987
1529.0,11.88
1782.0,12.481
1176.0,10.876
1482.0,11.808
1482.0,11.808
1631.0,12.181
1806.0,12.719000000000001
1631.0,12.181
1061.0,10.465
1212.0,10.859000000000002
1061.0,10.465
1061.0,10.465
1348.0,11.397
1319.0,11.376
1626.0,12.071
1061.0,10.465
1596.0,12.087
1782.0,12.481
1937.0,13.019
1743.0,12.625
1596.0,12.087
1654.0,12.054
1859.0,12.592
1150.0,10.842
1495.0,11.918
1316.0,11.38
1316.0,11.38
1654.0,12.054
1654.0,12.054
1475.0,11.66
1475.0,11.66
1475.0,11.66
1474.0,11.554
1474.0,11.554
1962.0,13.142999999999999
2000.0,13.126
1475.0,11.66
2000.0,13.126
2213.0,13.626
2000.0,13.126
2171.0,13.537
1336.0,11.253
1836.0,12.825999999999999
1340.0,11.363
1674.0,12.311
1674.0,12.311
1340.0,11.363
1340.0,11.363
1340.0,11.363
1340.0,11.363
1524.0,11.901
1524.0,11.901
2157.0,13.047
2157.0,13.047
1898.0,12.574000000000002
1898.0,12.574000000000002
1674.0,12.311
1674.0,12.311
1674.0,12.311
1674.0,12.311
1650.0,12.435
1486.0,11.773
1486.0,11.773
1486.0,11.773
1486.0,11.773
1486.0,11.773
1486.0,11.773
1470.0,11.773
1470.0,11.773
1828.0,12.722000000000001
1828.0,12.722000000000001
1485.0,11.863
1632.0,12.363
1340.0,11.363
1674.0,12.311
1057.0,10.465
1181.0,11.003
1209.0,10.859000000000002
1654.0,12.054
1219.0,10.842
2044.0,13.415
1654.0,12.054
1219.0,10.842
1362.0,11.38
1654.0,12.054
1873.0,12.790999999999999
1529.0,11.88
2311.0,13.898
2607.0,14.398
2933.0,14.898
3240.0,15.292
2223.0,13.825999999999999
2267.0,13.809000000000001
2519.0,14.347000000000001
1846.0,12.915
2044.0,13.415
2044.0,13.415
2012.0,13.432
2179.0,13.842
2201.0,13.825999999999999
2394.0,14.235999999999999
2223.0,13.825999999999999
3119.0,15.186
1067.0,10.449000000000002
1219.0,10.842
1219.0,10.842
1067.0,10.449000000000002
1219.0,10.842
3081.0,15.347000000000001
2659.0,14.774000000000001
1537.0,11.790999999999999
1826.0,12.932
1826.0,12.932
2607.0,14.398
2113.0,13.519
3342.0,16.037
1923.0,13.019
2780.0,14.913
3934.0,16.930999999999994
1923.0,13.019
1619.0,12.432
1619.0,12.432
1619.0,12.432
1619.0,12.432
1985.0,13.38
1985.0,13.38
1985.0,13.38
1985.0,13.38
